number,name,status
1,PEP Purpose and Guidelines,Active
8,Style Guide for Python Code,Active
9,Sample Plaintext PEP Template,Withdrawn
11,CPython platform support,Active
13,Python Language Governance,Active
7,Style Guide for C Code,Active
12,Sample reStructuredText PEP Template,Active
10,Voting Guidelines,Active
5,Guidelines for Language Evolution,Superseded
6,Bug Fix Releases,Superseded
3,Guidelines for Handling Bug Reports,Withdrawn
4,Deprecation of Standard Modules,Active
201,Lockstep Iteration,Final
2,Procedure for Adding New Modules,Active
200,Python 2.0 Release Schedule,Final
459,Standard Metadata Extensions for Python Software Packages,Withdrawn
458,Secure PyPI downloads with signed repository metadata,Accepted
160,Python 1.6 Release Schedule,Final
504,Using the System RNG by default,Withdrawn
503,Simple Repository API,Final
516,Build system abstraction for pip/conda etc,Rejected
515,Underscores in Numeric Literals,Final
514,Python registration in the Windows registry,Active
534,Improved Errors for Missing Standard Library Modules,Deferred
533,Deterministic cleanup for iterators,Deferred
513,A Platform Tag for Portable Linux Built Distributions,Superseded
537,Python 3.7 Release Schedule,Final
539,A New C-API for Thread-Local Storage in CPython,Final
538,Coercing the legacy C locale to a UTF-8 based locale,Final
536,Final Grammar for Literal String Interpolation,Withdrawn
540,Add a new UTF-8 Mode,Final
547,Running extension modules using the -m option,Deferred
545,Python Documentation Translations,Final
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,Rejected
560,Core support for typing module and generic types,Accepted
559,Built-in noop(),Rejected
558,Defined semantics for locals(),Deferred
557,Data Classes,Final
556,Threaded garbage collection,Deferred
567,Context Variables,Final
566,Metadata for Python Software Packages 2.1,Final
565,Show DeprecationWarning in __main__,Final
570,Python Positional-Only Parameters,Final
564,Add new time functions with nanosecond resolution,Final
569,Python 3.8 Release Schedule,Active
571,The manylinux2010 Platform Tag,Superseded
568,Generator-sensitivity for Context Variables,Deferred
590,Vectorcall: a fast calling protocol for CPython,Accepted
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,Final
598,Introducing incremental feature releases,Withdrawn
599,The manylinux2014 Platform Tag,Superseded
597,Add optional EncodingWarning,Final
591,Adding a final qualifier to typing,Accepted
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,Accepted
596,Python 3.9 Release Schedule,Active
655,Marking individual TypedDict items as required or potentially-missing,Accepted
654,Exception Groups and except*,Final
644,Require OpenSSL 1.1.1 or newer,Final
643,Metadata for Package Source Distributions,Final
652,Maintaining the Stable ABI,Final
653,Precise Semantics for Pattern Matching,Draft
645,Allow writing optional types as ,Withdrawn
656,Platform Tag for Linux Distributions Using Musl,Final
3002,Procedure for Backwards-Incompatible Changes,Final
3099,Things that will Not Change in Python 3000,Final
3000,Python 3000,Final
3001,Procedure for reviewing and improving standard library modules,Withdrawn
801,Reserved,Active
3003,Python Language Moratorium,Final
754,IEEE 754 Floating Point Special Values,Rejected
737,Unify type name formatting,Draft
8105,2024 Term Steering Council election,Active
8104,2023 Term Steering Council election,Active
8101,2020 Term Steering Council election,Final
8015,Organization of the Python community,Rejected
8016,The Steering Council Model,Accepted
8102,2021 Term Steering Council election,Final
8100,January 2019 Steering Council election,Final
8103,2022 Term Steering Council election,Final
8014,The Commons Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8012,The Community Governance Model,Rejected
8001,Python Governance Voting Process,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
8002,Open Source Governance Survey,Final
8000,Python Language Governance Proposal Overview,Final
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8010,The Technical Leader Governance Model,Rejected
3333,Python Web Server Gateway Interface v1.0.1,Final
3153,Asynchronous IO support,Superseded
3154,Pickle protocol version 4,Final
3149,ABI version tagged .so files,Final
3148,futures - execute computations asynchronously,Final
3152,Cofunctions,Rejected
3151,Reworking the OS and IO exception hierarchy,Final
3155,Qualified name for classes and functions,Final
3150,Statement local namespaces (aka “given” clause),Deferred
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3144,IP Address Manipulation Library for the Python Standard Library,Final
3140,"str(container) should call str(item), not repr(item)",Rejected
3143,Standard daemon process library,Deferred
3147,PYC Repository Directories,Final
3146,Merging Unladen Swallow into CPython,Withdrawn
3142,Add a “while” clause to generator expressions,Rejected
3141,A Type Hierarchy for Numbers,Final
3132,Extended Iterable Unpacking,Final
3135,New Super,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3138,String representation in Python 3000,Final
3136,Labeled break and continue,Rejected
3137,Immutable Bytes and Mutable Buffer,Final
3139,Cleaning out sys and the “interpreter” module,Rejected
3131,Supporting Non-ASCII Identifiers,Final
3133,Introducing Roles,Rejected
3130,Access to Current Module/Class/Function,Rejected
3129,Class Decorators,Final
3128,BList: A Faster List-like Type,Rejected
3125,Remove Backslash Continuation,Rejected
3127,Integer Literal Support and Syntax,Final
3123,Making PyObject_HEAD conform to standard C,Final
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3126,Remove Implicit String Concatenation,Rejected
3121,Extension Module Initialization and Finalization,Final
3120,Using UTF-8 as the default source encoding,Final
3117,Postfix type declarations,Rejected
3116,New I/O,Final
3122,Delineation of the main module,Rejected
3119,Introducing Abstract Base Classes,Final
3115,Metaclasses in Python 3000,Final
3118,Revising the buffer protocol,Final
3111,Simple input built-in in Python 3000,Final
3109,Raising Exceptions in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3108,Standard Library Reorganization,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3112,Bytes literals in Python 3000,Final
3113,Removal of Tuple Parameter Unpacking,Final
3107,Function Annotations,Final
3102,Keyword-Only Arguments,Final
3100,Miscellaneous Python 3.0 Plans,Final
735,Dependency Groups in pyproject.toml,Draft
3101,Advanced String Formatting,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a function,Final
3103,A Switch/Case Statement,Rejected
3104,Access to Names in Outer Scopes,Final
731,C API Working Group Charter,Active
729,Typing governance process,Active
732,The Python Documentation Editorial Board,Draft
734,Multiple Interpreters in the Stdlib,Draft
730,Adding iOS as a supported platform,Draft
726,Module ,Draft
733,An Evaluation of Python’s Public C API,Draft
727,Documentation in Annotated Metadata,Draft
725,Specifying external dependencies in pyproject.toml,Draft
721,Using tarfile.data_filter for source distribution extraction,Final
719,Python 3.13 Release Schedule,Active
718,Subscriptable functions,Draft
723,Inline script metadata,Provisional
720,Cross-compiling Python packages,Draft
722,Dependency specification for single-file scripts,Rejected
724,Stricter Type Guards,Draft
715,Disabling bdist_egg distribution uploads on PyPI,Final
710,Recording the provenance of installed packages,Draft
709,Inlined comprehensions,Accepted
713,Callable Modules,Rejected
711,PyBI: a standard format for distributing Python Binaries,Draft
714,Rename dist-info-metadata in the Simple API,Accepted
712,Adding a “converter” parameter to dataclasses.field,Draft
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,Provisional
707,A simplified signature for __exit__ and __aexit__,Rejected
705,TypedDict: Read-only items,Draft
704,Require virtual environments by default for package installers,Withdrawn
700,Additional Fields for the Simple API for Package Indexes,Accepted
703,Making the Global Interpreter Lock Optional in CPython,Accepted
706,Filter for tarfile.extractall,Final
699,Remove private dict version field added in PEP 509,Accepted
702,Marking deprecations using the type system,Accepted
701,Syntactic formalization of f-strings,Accepted
695,Type Parameter Syntax,Accepted
698,Override Decorator for Static Typing,Accepted
697,Limited C API for Extending Opaque Types,Final
696,Type defaults for TypeVarLikes,Draft
694,Upload 2.0 API for Python Package Repositories,Draft
690,Lazy Imports,Rejected
692,Using TypedDict for more precise **kwargs typing,Accepted
691,JSON-based Simple API for Python Package Indexes,Accepted
693,Python 3.12 Release Schedule,Active
